Started Wise polling loop for BIORAD_IH500_DEVICE_01 (interval=1.0s)
2026-03-18T15:47:55.790+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:56.806+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:57.906+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:58.946+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:59.970+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:01.005+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:02.036+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:03.132+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:04.154+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:05.179+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:06.214+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:07.240+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:08.263+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:09.286+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:10.320+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:11.356+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:12.369+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:13.392+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:14.419+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:15.451+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:16.473+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:17.679+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:18.707+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:19.738+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:48:20.772+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
